plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_oldplotid,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140960028,570223108,105.9317188,16.17897268,,,,,,,POINT(105.9317188 16.17897268),1,139377976,,,,,,,
140960029,570223109,105.2342669,16.89070788,j.ferrand@forestcarbon.com,FALSE,7/14/2021 4:46,2787.6 secs,Planet NICFI Public,,POINT(105.2342669 16.89070788),2,140738389,forest,yes,forest degradation,selective logging,,medium,2019
140960030,570223110,105.7692136,16.84031239,j.ferrand@forestcarbon.com,FALSE,7/14/2021 5:31,2736.9 secs,Planet NICFI Public,,POINT(105.7692136 16.84031239),3,139377986,forest,yes,forest degradation,selective logging,,high,2018
140960031,570223111,104.8475421,16.72658567,j.ferrand@forestcarbon.com,FALSE,7/14/2021 5:37,364.0 secs,Planet NICFI Public,,POINT(104.8475421 16.72658567),4,140738401,forest,yes,forest degradation,selective logging,,low,2019
140960032,570223112,106.5935975,16.20538315,j.ferrand@forestcarbon.com,FALSE,7/14/2021 5:40,140.7 secs,Planet NICFI Public,,POINT(106.5935975 16.20538315),5,140738335,forest,no,,,,high,
140960033,570223113,106.7350822,16.39753279,j.ferrand@forestcarbon.com,FALSE,7/14/2021 5:51,672.4 secs,Planet NICFI Public,,POINT(106.7350822 16.39753279),6,139378025,forest,no,,,,low,
140960034,570223114,106.1200956,16.63522701,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:08,1032.5 secs,Planet NICFI Public,,POINT(106.1200956 16.63522701),7,139378029,forest,yes,forest degradation,other,,medium,2019
140960035,570223115,106.5089762,16.19056094,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:10,128.4 secs,Planet NICFI Public,,POINT(106.5089762 16.19056094),8,140738328,forest,no,,,,medium,
140960036,570223116,105.8794369,16.99554127,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:13,181.4 secs,Planet NICFI Public,,POINT(105.8794369 16.99554127),9,139377985,forest,no,,,,medium,
140960037,570223117,105.8357788,16.69370734,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:21,191.6 secs,Planet NICFI Public,,POINT(105.8357788 16.69370734),10,139377974,forest,yes,forest degradation,selective logging,,low,2016
140960038,570223118,106.070778,16.94272033,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:22,100.1 secs,Planet NICFI Public,,POINT(106.070778 16.94272033),11,139377989,forest,no,,,,high,
140960039,570223119,106.543741,16.8397734,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:29,398.1 secs,Planet NICFI Public,,POINT(106.543741 16.8397734),12,139377972,forest,no,,,,low,
140960040,570223120,106.4849912,16.22882918,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:35,336.3 secs,Planet NICFI Public,,POINT(106.4849912 16.22882918),13,140738343,forest,yes,forest degradation,shifting agriculture,,high,2017
140960041,570223121,105.700223,16.7252382,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:40,287.3 secs,Planet NICFI Public,,POINT(105.700223 16.7252382),14,140738344,forest,yes,forest degradation,selective logging,,low,2015
